RAZAO_SOCIAL,Registro_ANS,SUM(reg.VL_SALDO_FINAL)
"UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO",393321,-65046512299
"AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.",326305,-58770926818
"BRADESCO SAÚDE S.A.",005711,-56282858333
"CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL",339679,-40940117688
"CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO",352331,-35211131540
"SUL AMERICA COMPANHIA DE SEGURO SAÚDE",006246,-32245650672
"GEAP AUTOGESTÃO EM SAÚDE",323080,-25812114369
"NOTRE DAME INTERMÉDICA SAÚDE S.A.",359017,-19683123474
"UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO",343889,-18578588038
"UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS",319996,-16963720806
